        4096	DH
60.237112      63.094302      64.715996
62.604630      63.863555      63.278766
62.604630      66.352910      64.715996
55.502077      51.598375      61.841536
57.869595      52.367628      60.404306
57.869595      54.856983      61.841536
60.237112      55.626236      60.404306
60.237112      58.115591      61.841536
62.604630      58.884844      60.404306
62.604630      61.374200      61.841536
60.237112      53.136881      58.967076
62.604630      53.906134      57.529847
62.604630      56.395489      58.967076
48.399525      74.184168      74.776605
48.399525      69.205457      71.902145
48.399525      71.694812      73.339375
50.767042      72.464065      71.902145
50.767042      74.953421      73.339375
53.134560      75.722674      71.902145
48.399525      64.226747      69.027686
48.399525      66.716102      70.464916
50.767042      67.485355      69.027686
50.767042      69.974710      70.464916
53.134560      70.743963      69.027686
53.134560      73.233318      70.464916
55.502077      74.002572      69.027686
55.502077      76.491927      70.464916
57.869595      77.261180      69.027686
48.399525      59.248036      66.153226
48.399525      61.737392      67.590456
50.767042      62.506645      66.153226
50.767042      64.996000      67.590456
53.134560      65.765253      66.153226
53.134560      68.254608      67.590456
55.502077      69.023861      66.153226
55.502077      71.513216      67.590456
57.869595      72.282469      66.153226
57.869595      74.771825      67.590456
48.399525      54.269326      63.278766
48.399525      56.758681      64.715996
50.767042      57.527934      63.278766
50.767042      60.017289      64.715996
53.134560      60.786543      63.278766
53.134560      63.275898      64.715996
55.502077      64.045151      63.278766
55.502077      66.534506      64.715996
57.869595      67.303759      63.278766
57.869595      69.793114      64.715996
48.399525      49.290616      60.404306
48.399525      51.779971      61.841536
50.767042      52.549224      60.404306
50.767042      55.038579      61.841536
53.134560      55.807832      60.404306
53.134560      58.297187      61.841536
55.502077      59.066440      60.404306
55.502077      61.555796      61.841536
57.869595      62.325049      60.404306
57.869595      64.814404      61.841536
50.767042      50.059869      58.967076
53.134560      50.829122      57.529847
53.134560      53.318477      58.967076
55.502077      54.087730      57.529847
55.502077      56.577085      58.967076
57.869595      57.346338      57.529847
57.869595      59.835693      58.967076
55.502077      51.598375      56.092617
57.869595      52.367628      54.655387
57.869595      54.856983      56.092617
48.399525      79.162878      71.902145
48.399525      74.184168      69.027686
48.399525      76.673523      70.464916
50.767042      77.442776      69.027686
50.767042      79.932131      70.464916
53.134560      80.701384      69.027686
48.399525      69.205457      66.153226
48.399525      71.694812      67.590456
50.767042      72.464065      66.153226
50.767042      74.953421      67.590456
53.134560      75.722674      66.153226
53.134560      78.212029      67.590456
48.399525      64.226747      63.278766
48.399525      66.716102      64.715996
50.767042      67.485355      63.278766
50.767042      69.974710      64.715996
53.134560      70.743963      63.278766
53.134560      73.233318      64.715996
48.399525      59.248036      60.404306
48.399525      61.737392      61.841536
50.767042      62.506645      60.404306
50.767042      64.996000      61.841536
53.134560      65.765253      60.404306
53.134560      68.254608      61.841536
48.399525      54.269326      57.529847
48.399525      56.758681      58.967076
50.767042      57.527934      57.529847
50.767042      60.017289      58.967076
53.134560      60.786543      57.529847
53.134560      63.275898      58.967076
48.399525      49.290616      54.655387
48.399525      51.779971      56.092617
50.767042      52.549224      54.655387
50.767042      55.038579      56.092617
53.134560      55.807832      54.655387
53.134560      58.297187      56.092617
50.767042      50.059869      53.218157
53.134560      50.829122      51.780927
53.134560      53.318477      53.218157
48.399525      84.141588      69.027686
48.399525      79.162878      66.153226
48.399525      81.652233      67.590456
48.399525      74.184168      63.278766
48.399525      76.673523      64.715996
48.399525      69.205457      60.404306
48.399525      71.694812      61.841536
48.399525      64.226747      57.529847
48.399525      66.716102      58.967076
48.399525      59.248036      54.655387
48.399525      61.737392      56.092617
48.399525      54.269326      51.780927
48.399525      56.758681      53.218157
48.399525      49.290616      48.906467
48.399525      51.779971      50.343697
48.399525      46.801260      87.711674
50.767042      47.570514      89.148904
52.230249      45.556583      87.711674
49.862731      44.787330      86.274444
51.325937      42.773399      84.837214
53.693455      43.542652      86.274444
55.156661      41.528722      84.837214
52.789144      40.759469      83.399985
54.252350      38.745538      81.962755
56.619867      39.514791      83.399985
58.083074      37.500860      81.962755
55.715556      36.731607      80.525525
57.178762      34.717677      79.088295
59.546280      35.486930      80.525525
61.009486      33.472999      79.088295
58.641969      32.703746      77.651065
60.105175      30.689815      76.213835
62.472692      31.459068      77.651065
63.935899      29.445138      76.213835
61.568381      28.675885      74.776605
63.031588      26.661954      73.339375
65.399105      27.431207      74.776605
66.862311      25.417276      73.339375
64.494794      24.648023      71.902145
65.958000      22.634093      70.464916
68.325518      23.403346      71.902145
69.788724      21.389415      70.464916
67.421206      20.620162      69.027686
68.884413      18.606231      67.590456
71.251930      19.375484      69.027686
53.134560      48.339767      84.837214
55.502077      49.109020      86.274444
56.965284      47.095089      84.837214
48.399525      46.801260      81.962755
50.767042      47.570514      83.399985
52.230249      45.556583      81.962755
54.597766      46.325836      83.399985
56.060972      44.311905      81.962755
58.428490      45.081158      83.399985
59.891696      43.067228      81.962755
49.862731      44.787330      80.525525
51.325937      42.773399      79.088295
53.693455      43.542652      80.525525
55.156661      41.528722      79.088295
57.524179      42.297975      80.525525
58.987385      40.284044      79.088295
61.354902      41.053297      80.525525
62.818109      39.039366      79.088295
52.789144      40.759469      77.651065
54.252350      38.745538      76.213835
56.619867      39.514791      77.651065
58.083074      37.500860      76.213835
60.450591      38.270113      77.651065
61.913797      36.256183      76.213835
64.281315      37.025436      77.651065
65.744521      35.011505      76.213835
55.715556      36.731607      74.776605
57.178762      34.717677      73.339375
59.546280      35.486930      74.776605
61.009486      33.472999      73.339375
63.377004      34.242252      74.776605
64.840210      32.228321      73.339375
67.207727      32.997574      74.776605
68.670934      30.983644      73.339375
58.641969      32.703746      71.902145
60.105175      30.689815      70.464916
62.472692      31.459068      71.902145
63.935899      29.445138      70.464916
66.303416      30.214391      71.902145
67.766622      28.200460      70.464916
70.134140      28.969713      71.902145
71.597346      26.955782      70.464916
61.568381      28.675885      69.027686
63.031588      26.661954      67.590456
65.399105      27.431207      69.027686
66.862311      25.417276      67.590456
69.229829      26.186529      69.027686
70.693035      24.172599      67.590456
73.060553      24.941852      69.027686
64.494794      24.648023      66.153226
65.958000      22.634093      64.715996
68.325518      23.403346      66.153226
57.869595      49.878273      81.962755
60.237112      50.647526      83.399985
61.700319      48.633595      81.962755
53.134560      48.339767      79.088295
55.502077      49.109020      80.525525
56.965284      47.095089      79.088295
59.332801      47.864342      80.525525
60.796007      45.850411      79.088295
63.163525      46.619664      80.525525
64.626731      44.605734      79.088295
48.399525      46.801260      76.213835
50.767042      47.570514      77.651065
52.230249      45.556583      76.213835
54.597766      46.325836      77.651065
56.060972      44.311905      76.213835
58.428490      45.081158      77.651065
59.891696      43.067228      76.213835
62.259214      43.836481      77.651065
63.722420      41.822550      76.213835
66.089937      42.591803      77.651065
67.553144      40.577872      76.213835
49.862731      44.787330      74.776605
51.325937      42.773399      73.339375
53.693455      43.542652      74.776605
55.156661      41.528722      73.339375
57.524179      42.297975      74.776605
58.987385      40.284044      73.339375
61.354902      41.053297      74.776605
62.818109      39.039366      73.339375
65.185626      39.808619      74.776605
66.648832      37.794689      73.339375
69.016350      38.563942      74.776605
70.479556      36.550011      73.339375
52.789144      40.759469      71.902145
54.252350      38.745538      70.464916
