          8621	RD
15.735240       31.431240       31.431240
17.697240       33.393240       31.431240
19.659240       31.431240       31.431240
21.621240       33.393240       31.431240
23.583240       31.431240       31.431240
25.545240       33.393240       31.431240
27.507240       31.431240       31.431240
29.469240       33.393240       31.431240
31.431240       31.431240       31.431240
33.393240       33.393240       31.431240
35.355240       31.431240       31.431240
37.317240       33.393240       31.431240
39.279240       31.431240       31.431240
41.241240       33.393240       31.431240
43.203240       31.431240       31.431240
45.165240       33.393240       31.431240
47.127240       31.431240       31.431240
49.089240       33.393240       31.431240
51.051240       31.431240       31.431240
53.013240       33.393240       31.431240
54.975240       31.431240       31.431240
56.937240       33.393240       31.431240
58.899240       31.431240       31.431240
60.861240       33.393240       31.431240
62.823240       31.431240       31.431240
64.785240       33.393240       31.431240
66.747240       31.431240       31.431240
68.709240       33.393240       31.431240
70.671240       31.431240       31.431240
15.735240       35.355240       31.431240
17.697240       37.317240       31.431240
19.659240       35.355240       31.431240
21.621240       37.317240       31.431240
23.583240       35.355240       31.431240
25.545240       37.317240       31.431240
27.507240       35.355240       31.431240
29.469240       37.317240       31.431240
31.431240       35.355240       31.431240
33.393240       37.317240       31.431240
35.355240       35.355240       31.431240
37.317240       37.317240       31.431240
39.279240       35.355240       31.431240
41.241240       37.317240       31.431240
