        2056	IH
25.403847      12.309655      12.975720
32.506399      19.959317       8.664030
34.873917      19.190064       7.226800
34.873917      16.700709       8.664030
27.771364      21.497823      11.538490
30.138882      20.728570      10.101260
30.138882      18.239215      11.538490
32.506399      17.469962      10.101260
32.506399      14.980607      11.538490
34.873917      14.211354      10.101260
23.036329      23.036329      14.412950
25.403847      22.267076      12.975720
25.403847      19.777721      14.412950
27.771364      19.008468      12.975720
27.771364      16.519113      14.412950
30.138882      15.749860      12.975720
23.036329      20.546974      15.850180
23.036329      18.057619      17.287410
25.403847      17.288366      15.850180
37.241434      18.420811      11.538490
39.608952      17.651558      10.101260
32.506399      19.959317      14.412950
34.873917      19.190064      12.975720
27.771364      21.497823      17.287410
30.138882      20.728570      15.850180
23.036329      23.036329      20.161869
25.403847      22.267076      18.724640
21.573123      41.524897      25.910789
23.036329      39.510966      27.348019
24.499535      39.035542      24.473559
23.036329      41.049473      23.036329
24.499535      40.574048      20.161869
25.962742      38.560117      21.599099
27.425948      38.084693      18.724640
25.962742      40.098624      17.287410
27.425948      39.623199      14.412950
28.889154      37.609268      15.850180
30.352361      37.133844      12.975720
28.889154      39.147774      11.538490
18.646710      40.574048      20.161869
21.573123      36.546187      23.036329
20.109917      38.560117      21.599099
21.573123      38.084693      18.724640
20.109917      40.098624      17.287410
21.573123      39.623199      14.412950
23.036329      34.532256      24.473559
24.499535      34.056832      21.599099
23.036329      36.070762      20.161869
24.499535      35.595338      17.287410
23.036329      37.609268      15.850180
24.499535      37.133844      12.975720
23.036329      39.147774      11.538490
25.962742      33.581407      18.724640
27.425948      33.105982      15.850180
25.962742      35.119913      14.412950
15.720298      39.623199      14.412950
18.646710      35.595338      17.287410
17.183504      37.609268      15.850180
18.646710      37.133844      12.975720
17.183504      39.147774      11.538490
21.573123      31.567476      20.161869
20.109917      33.581407      18.724640
21.573123      33.105982      15.850180
20.109917      35.119913      14.412950
23.036329      29.553546      21.599099
24.499535      29.078121      18.724640
23.036329      31.092052      17.287410
23.036329      42.000322      28.785249
24.499535      41.524897      25.910789
25.962742      41.049473      23.036329
27.425948      40.574048      20.161869
28.889154      40.098624      17.287410
30.352361      39.623199      14.412950
31.815567      39.147774      11.538490
20.109917      41.049473      23.036329
23.036329      37.021611      25.910789
21.573123      39.035542      24.473559
23.036329      38.560117      21.599099
21.573123      40.574048      20.161869
23.036329      40.098624      17.287410
24.499535      36.546187      23.036329
25.962742      36.070762      20.161869
24.499535      38.084693      18.724640
25.962742      37.609268      15.850180
24.499535      39.623199      14.412950
25.962742      39.147774      11.538490
27.425948      35.595338      17.287410
28.889154      35.119913      14.412950
27.425948      37.133844      12.975720
17.183504      40.098624      17.287410
20.109917      36.070762      20.161869
18.646710      38.084693      18.724640
20.109917      37.609268      15.850180
18.646710      39.623199      14.412950
20.109917      39.147774      11.538490
23.036329      32.042901      23.036329
21.573123      34.056832      21.599099
23.036329      33.581407      18.724640
21.573123      35.595338      17.287410
23.036329      35.119913      14.412950
21.573123      37.133844      12.975720
