        6524	IH
44.004238      37.611181      60.404306
46.371756      38.380434      61.841536
47.834962      36.366503      60.404306
39.269203      36.072674      57.529847
41.636721      36.841927      58.967076
43.099927      34.827997      57.529847
45.467444      35.597250      58.967076
46.930651      33.583319      57.529847
49.298168      34.352572      58.967076
50.761374      32.338642      57.529847
36.901686      35.303421      56.092617
38.364892      33.289491      54.655387
40.732410      34.058744      56.092617
42.195616      32.044813      54.655387
44.563133      32.814066      56.092617
46.026340      30.800136      54.655387
48.393857      31.569389      56.092617
49.857063      29.555458      54.655387
52.224581      30.324711      56.092617
53.687787      28.310780      54.655387
39.828098      31.275560      53.218157
41.291305      29.261629      51.780927
43.658822      30.030882      53.218157
45.122028      28.016952      51.780927
47.489546      28.786205      53.218157
48.952752      26.772274      51.780927
51.320270      27.541527      53.218157
52.783476      25.527597      51.780927
55.150993      26.296850      53.218157
42.754511      27.247699      50.343697
44.217717      25.233768      48.906467
46.585235      26.003021      50.343697
48.048441      23.989091      48.906467
50.415958      24.758344      50.343697
45.680923      23.219837      47.469237
48.739273      39.149687      57.529847
51.106791      39.918940      58.967076
52.569997      37.905009      57.529847
44.004238      37.611181      54.655387
46.371756      38.380434      56.092617
47.834962      36.366503      54.655387
50.202479      37.135756      56.092617
51.665686      35.121825      54.655387
54.033203      35.891078      56.092617
55.496409      33.877148      54.655387
39.269203      36.072674      51.780927
41.636721      36.841927      53.218157
43.099927      34.827997      51.780927
45.467444      35.597250      53.218157
46.930651      33.583319      51.780927
49.298168      34.352572      53.218157
50.761374      32.338642      51.780927
53.128892      33.107895      53.218157
54.592098      31.093964      51.780927
56.959616      31.863217      53.218157
36.901686      35.303421      50.343697
38.364892      33.289491      48.906467
40.732410      34.058744      50.343697
42.195616      32.044813      48.906467
44.563133      32.814066      50.343697
46.026340      30.800136      48.906467
48.393857      31.569389      50.343697
49.857063      29.555458      48.906467
52.224581      30.324711      50.343697
39.828098      31.275560      47.469237
41.291305      29.261629      46.032007
43.658822      30.030882      47.469237
45.122028      28.016952      46.032007
47.489546      28.786205      47.469237
42.754511      27.247699      44.594778
53.474308      40.688193      54.655387
55.841826      41.457446      56.092617
57.305032      39.443515      54.655387
48.739273      39.149687      51.780927
51.106791      39.918940      53.218157
52.569997      37.905009      51.780927
54.937514      38.674262      53.218157
56.400721      36.660331      51.780927
58.768238      37.429585      53.218157
44.004238      37.611181      48.906467
46.371756      38.380434      50.343697
47.834962      36.366503      48.906467
50.202479      37.135756      50.343697
51.665686      35.121825      48.906467
54.033203      35.891078      50.343697
39.269203      36.072674      46.032007
41.636721      36.841927      47.469237
43.099927      34.827997      46.032007
45.467444      35.597250      47.469237
46.930651      33.583319      46.032007
49.298168      34.352572      47.469237
36.901686      35.303421      44.594778
38.364892      33.289491      43.157548
40.732410      34.058744      44.594778
42.195616      32.044813      43.157548
44.563133      32.814066      44.594778
39.828098      31.275560      41.720318
58.209343      42.226699      51.780927
60.576861      42.995952      53.218157
53.474308      40.688193      48.906467
55.841826      41.457446      50.343697
48.739273      39.149687      46.032007
51.106791      39.918940      47.469237
44.004238      37.611181      43.157548
46.371756      38.380434      44.594778
39.269203      36.072674      40.283088
41.636721      36.841927      41.720318
36.901686      35.303421      38.845858
35.997375      32.520238      64.715996
37.460581      30.506307      66.153226
35.997375      28.492376      64.715996
34.534168      30.506307      63.278766
33.070962      28.492376      61.841536
34.534168      26.478446      63.278766
33.070962      24.464515      61.841536
31.607756      26.478446      60.404306
30.144550      24.464515      58.967076
31.607756      22.450584      60.404306
30.144550      20.436654      58.967076
28.681343      22.450584      57.529847
27.218137      20.436654      56.092617
28.681343      18.422723      57.529847
27.218137      16.408792      56.092617
25.754931      18.422723      54.655387
24.291724      16.408792      53.218157
25.754931      14.394862      54.655387
24.291724      12.380931      53.218157
22.828518      14.394862      51.780927
38.923787      28.492376      61.841536
40.386993      26.478446      63.278766
38.923787      24.464515      61.841536
35.997375      32.520238      58.967076
37.460581      30.506307      60.404306
35.997375      28.492376      58.967076
37.460581      26.478446      60.404306
35.997375      24.464515      58.967076
37.460581      22.450584      60.404306
35.997375      20.436654      58.967076
34.534168      30.506307      57.529847
33.070962      28.492376      56.092617
34.534168      26.478446      57.529847
33.070962      24.464515      56.092617
34.534168      22.450584      57.529847
33.070962      20.436654      56.092617
34.534168      18.422723      57.529847
33.070962      16.408792      56.092617
31.607756      26.478446      54.655387
30.144550      24.464515      53.218157
31.607756      22.450584      54.655387
30.144550      20.436654      53.218157
31.607756      18.422723      54.655387
30.144550      16.408792      53.218157
31.607756      14.394862      54.655387
30.144550      12.380931      53.218157
28.681343      22.450584      51.780927
27.218137      20.436654      50.343697
28.681343      18.422723      51.780927
27.218137      16.408792      50.343697
28.681343      14.394862      51.780927
25.754931      18.422723      48.906467
41.850200      24.464515      58.967076
43.313406      22.450584      60.404306
41.850200      20.436654      58.967076
38.923787      28.492376      56.092617
40.386993      26.478446      57.529847
38.923787      24.464515      56.092617
40.386993      22.450584      57.529847
38.923787      20.436654      56.092617
40.386993      18.422723      57.529847
38.923787      16.408792      56.092617
35.997375      32.520238      53.218157
37.460581      30.506307      54.655387
35.997375      28.492376      53.218157
37.460581      26.478446      54.655387
35.997375      24.464515      53.218157
37.460581      22.450584      54.655387
35.997375      20.436654      53.218157
37.460581      18.422723      54.655387
35.997375      16.408792      53.218157
